timestamp_ms,event,gpu0_free_mb
0,model_loaded,25778
0,warmup_start,25778
0,warmup_end,25778
20,calibration_start,20136
150,,20136
186,calibration_end,21640
214,hcs_init_start,21640
351,,616
552,,616
752,,616
953,,616
1153,,616
1354,,616
1490,hcs_init_end,616
1491,validation_start,616
1491,validation_end,616
1555,,616
1755,,616
1956,,616
2157,,616
2358,,616
2492,server_ready,616
2558,,616
2759,,616
2960,,616
3161,,616
3362,,616
3563,,616
3764,,616
3964,,616
4165,,616
4366,,616
4567,,616
4768,,616
4969,,616
5170,,616
5371,,616
5572,,616
5773,,616
5974,,616
6175,,616
6376,,616
6577,,616
6778,,616
6979,,616
7179,,616
7380,,616
7581,,616
7782,,616
7983,,616
8184,,616
8385,,616
8586,,616
8787,,616
8988,,616
9189,,616
9390,,616
9591,,616
9791,,616
9992,,616
10193,,616
10394,,616
10595,,616
10796,,616
10997,,616
11198,,616
11399,,616
11600,,616
11801,,616
12002,,616
12102,prefill_start,616
12203,,616
12403,,616
12604,,616
12805,,616
13005,,616
13206,,616
13406,,616
13607,,616
13798,prefill_end,616
13798,hcs_soft_load_start,616
13798,hcs_soft_load_end,616
13799,decode_start,616
13808,,616
13926,decode_end,568
14008,,568
14209,,568
14250,prefill_start,568
14410,,568
14611,,568
14811,,568
15012,,568
15212,,568
15413,,568
15614,,568
15814,,568
15818,prefill_end,568
15818,hcs_soft_load_start,568
15818,hcs_soft_load_end,568
15818,decode_start,568
15934,decode_end,568
16015,,568
16216,,568
16288,prefill_start,568
16417,,568
16618,,568
16818,,568
17019,,568
17219,,568
17420,,568
17621,,568
17821,,568
18022,,568
18223,,566
18423,,566
18624,,566
18824,,566
19025,,566
19226,,566
19426,,566
19627,,566
19827,,566
20028,,566
20228,,566
20429,,566
20630,,566
20830,,566
21031,,566
21232,,566
21432,,566
21633,,566
21833,,566
22034,,566
22234,,566
22435,,566
22636,,566
22836,,566
23037,,566
23237,,566
23438,,566
23638,,566
23839,,566
24040,,566
24240,,566
24441,,566
24641,,566
24842,,566
25042,,566
25243,,566
25444,,566
25644,,566
25845,,566
26045,,566
26246,,566
26447,,566
26647,,566
26848,,566
27048,,566
27249,,566
27449,,566
27650,,566
27851,,566
28051,,566
28252,,566
28452,,566
28653,,566
28853,,566
28906,prefill_end,566
28906,hcs_soft_load_start,566
28906,hcs_soft_load_end,566
28906,decode_start,566
28906,decode_end,566
29054,,566
29255,,566
29270,prefill_start,566
29456,,566
29657,,566
29857,,566
30058,,566
30259,,566
30459,,566
30660,,566
30860,,566
31061,,566
31261,,566
31462,,566
31663,,566
31863,,566
32064,,566
32264,,566
32465,,566
32665,,566
32866,,566
33066,,566
33267,,566
33468,,566
33668,,566
33869,,566
34069,,566
34270,,566
34471,,566
34671,,566
34872,,566
35072,,566
35273,,566
35473,,566
35674,,566
35875,,566
36075,,566
36276,,566
36476,,566
36677,,566
36878,,566
37078,,566
37279,,566
37479,,566
37680,,566
37880,,566
38081,,566
38282,,566
38482,,566
38683,,566
38883,,566
39084,,566
39284,,566
39485,,566
39686,,566
39886,,566
40087,,566
40287,,566
40488,,566
40688,,566
40889,,566
41090,,566
41290,,566
41491,,566
41691,,566
41892,,566
41897,prefill_end,566
41897,hcs_soft_load_start,566
41897,hcs_soft_load_end,566
41897,decode_start,566
41897,decode_end,566
42093,,566
42253,prefill_start,566
42294,,566
42495,,566
42695,,566
42896,,566
43097,,566
43297,,566
43498,,566
43698,,566
43899,,566
44099,,566
44300,,566
44501,,566
44701,,566
44902,,566
45103,,566
45303,,566
45504,,566
45704,,566
45905,,566
46106,,566
46306,,566
46507,,566
46708,,566
46908,,566
47109,,566
47309,,566
47510,,566
47710,,566
47911,,566
48112,,566
48312,,566
48513,,566
48713,,566
48914,,566
49114,,566
49315,,566
49516,,566
49717,,566
49917,,566
50118,,566
50318,,566
50519,,566
50720,,566
50920,,566
51121,,566
51321,,566
51522,,566
51723,,566
51923,,566
52124,,566
52324,,566
52525,,566
52725,,566
52926,,566
53127,,566
53328,,566
53528,,566
53729,,566
53929,,566
54130,,566
54330,,566
54531,,566
54732,,566
54801,prefill_end,566
54802,hcs_soft_load_start,566
54802,hcs_soft_load_end,566
54802,decode_start,566
54802,decode_end,566
54933,,566
55111,prefill_start,566
55133,,566
55334,,566
55535,,566
55735,,566
55936,,566
56137,,566
56337,,566
56538,,566
56687,prefill_end,566
56688,hcs_soft_load_start,566
56688,hcs_soft_load_end,566
56688,decode_start,566
56739,,566
56939,,566
57140,,566
57340,,566
57400,decode_end,566
57541,,566
57715,prefill_start,566
57742,,566
57943,,566
58143,,566
58344,,566
58544,,566
58745,,566
58946,,566
59146,,566
59301,prefill_end,566
59301,hcs_soft_load_start,566
59301,hcs_soft_load_end,566
59301,decode_start,566
59347,,566
59547,,566
59748,,566
59949,,566
60149,,566
60350,,566
60550,,566
60751,,566
60812,decode_end,566
60952,,566
61153,,566
61213,prefill_start,566
61354,,566
61554,,566
61755,,566
61955,,566
62156,,566
62357,,566
62557,,566
62758,,566
62959,,566
62967,prefill_end,566
62967,hcs_soft_load_start,566
62967,hcs_soft_load_end,566
62967,decode_start,566
63159,,566
63360,,566
63560,,566
63761,,566
63962,,566
64162,,566
64363,,566
64563,,566
64764,,566
64964,,566
65165,,566
65366,,566
65566,,566
65767,,566
65967,,566
66168,,566
66369,,566
66569,,566
66770,,566
66944,decode_end,566
66970,,566
67172,,566
67372,,566
67475,prefill_start,566
67573,,566
67774,,566
67975,,566
68175,,566
68376,,566
68577,,566
68777,,566
68978,,566
69179,,566
69201,prefill_end,566
69202,hcs_soft_load_start,566
69202,hcs_soft_load_end,566
69202,decode_start,566
69202,decode_end,566
69379,,566
69528,prefill_start,566
69580,,566
69781,,566
69982,,566
70182,,566
70383,,566
